"fittingattempt","dataset","K","betaNL","gammaNL","KNL","betaDD","gammaDD","betaFD","gammaFD","lik","conv","likDD","convDD","likFD","convFD","truebeta"
9,82,1,0.000561095931762574,0.0495260296217984,0.981267383140043,1.21516746973641e-05,1.73404635295409e-08,0.446172360327724,0.0514480096858437,223.628498503449,0,3466.7527817349,0,1226.00925922248,0,5e-04
10,82,1,0.445960077439162,0.0514600393159775,1.23270480953104e-05,1.21586936564255e-05,1.36081633966176e-08,0.445713345890763,0.0514748548538858,1225.99805394985,0,3466.75293761911,0,1226.00921658152,0,5e-04
11,82,1,0.000560685228947198,0.0495228997971105,0.981368116096575,1.21493522056536e-05,1.41496413452001e-09,0.446291074878669,0.0514698866047221,223.628486519795,0,3466.75244453228,0,1226.00951218928,0,5e-04
12,82,1,0.445928852615449,0.0514659157267439,1.40022149592763e-12,1.21515391617493e-05,3.74054225856601e-08,0.445806475412034,0.0514732199994061,1226.00907938458,0,3466.75320576819,0,1226.00914942585,0,5e-04
13,82,1,0.442495648743853,0.0514917448839324,0.000842151049001503,1.21727220277666e-05,1.29078792719359e-07,0.446643628400285,0.0514246865924362,1225.25536646046,0,3466.7569050702,0,1226.01051495972,0,5e-04
14,82,1,0.446015590468081,0.0514597082162757,7.06987927285511e-37,1.21534193388226e-05,6.07016154781239e-09,0.445082973709677,0.0514867888328936,1226.00908835044,0,3466.75256833226,0,1226.01065777572,0,5e-04
1,83,1,0.62779489663039,0.0495038386963221,5.93846274340006e-06,1.16654502938976e-05,8.36127082680952e-08,0.628032638762614,0.0494951721913093,1300.91449261833,0,3420.13947079947,0,1300.91769544703,0,5e-04
2,83,1,0.620670869347484,0.0495121399099148,0.00160616990847637,1.16725996025367e-05,5.70312431663294e-10,0.627503157996126,0.0495023117485953,1300.10492399083,0,3420.13761001439,0,1300.91756651701,0,5e-04
3,83,1,0.019464664486808,4.56811862335449e-23,1.08993216894034e-06,1.16825434322542e-05,6.62698700071519e-08,0.627740263614233,0.049492470105182,3128.22358239343,0,3420.13953124163,0,1300.91762134492,0,5e-04
4,83,1,0.000501814588747203,0.0508902134976407,1.00518675467811,0.000517835205483366,0.0509874684870182,0.62730810295285,0.0495131783385667,232.834450525709,0,232.863974295475,0,1300.91772668952,0,5e-04
5,83,1,0.0194630438087535,3.56077640550732e-32,4.54688675316179e-07,1.16578193003706e-05,2.5826475386334e-08,0.628149841919674,0.0494836311520371,3128.22357950804,0,3420.13864642572,0,1300.91805066721,0,5e-04
6,83,1,0.000502310416758795,0.0508892616530968,1.00503196006301,1.16640335608612e-05,3.06195646315113e-09,0.62735950266438,0.0495138053830136,232.834447527746,0,3420.13776783774,0,1300.91767108885,0,5e-04
7,83,1,0.627657325969056,0.0495036110091645,1.20237962630929e-65,1.16687093759724e-05,6.43157990555257e-09,0.627634389516804,0.0495177432036288,1300.91748798445,0,3420.13772376344,0,1300.91759702683,0,5e-04
8,83,1,0.000502171614941938,0.0508951459985712,1.00505629941102,1.1676797067797e-05,1.14075694539928e-08,0.627647925104542,0.0494892163697021,232.834473562465,0,3420.1379739062,0,1300.91773163136,0,5e-04
9,83,1,0.627621903158002,0.0495056354096438,2.01016354593379e-06,1.16802528148913e-05,1.15595324278805e-08,0.628517237714558,0.0494933678460501,1300.91646876365,0,3420.13817134237,0,1300.91855052102,0,5e-04
10,83,1,0.0194675275038534,7.77192109727189e-57,2.56560525796701e-06,1.16672641707181e-05,3.71010238128963e-09,0.627770420875338,0.049497121045017,3128.22362928918,0,3420.13768522686,0,1300.91753927594,0,5e-04
11,83,1,0.0194672470532345,2.88939706227468e-25,1.43261941600474e-06,1.16658172374764e-05,4.00563744664398e-09,0.627836759511342,0.0495152309415168,3128.22360474793,0,3420.13772635816,0,1300.91761484876,0,5e-04
12,83,1,0.0194641385362243,6.57342801261166e-44,1.31296114356608e-06,1.16817742314293e-05,2.3910036258261e-09,0.627282386538983,0.0494988110573708,3128.22358679161,0,3420.13808320011,0,1300.91786603121,0,5e-04
13,83,1,0.0194666352684705,2.20816055603203e-19,1.41265685641975e-05,1.16724934080766e-05,3.7336921747034e-10,0.62785436876439,0.0495112867491636,3128.22382864029,0,3420.13760401136,0,1300.91756389516,0,5e-04
14,83,1,0.000502256195216546,0.0508930060955963,1.00502767701816,1.16702559936529e-05,2.0090934694947e-12,0.627921643707088,0.0495095575158541,232.834458357676,0,3420.13757721985,0,1300.91759251121,0,5e-04
