"fittingattempt","dataset","K","betaNL","gammaNL","KNL","betaDD","gammaDD","betaFD","gammaFD","lik","conv","likDD","convDD","likFD","convFD","truebeta"
10,4,0.7,0.743253304041094,0.0470342219534348,1.36619588516764e-09,0.00164102952983193,0.0485917706305286,0.743302283570648,0.0470526189985037,713.726723044645,0,283.048451463413,0,713.726924047205,0,0.00794328234724282
11,4,0.7,0.00724302278859514,0.0507270526105158,0.710783689118225,0.00164089094769554,0.0485876765742605,0.743340950760653,0.0470559357925405,240.625372630981,0,283.048447780169,0,713.727050381946,0,0.00794328234724282
12,4,0.7,0.743334713940077,0.0470399648487551,9.21041484987321e-13,0.00164046889019954,0.0485991914205353,0.743442230126063,0.0470401910513013,713.726730759947,0,283.048507098583,0,713.726809668815,0,0.00794328234724282
13,4,0.7,0.743186584260047,0.0470385919603525,4.56160269004992e-07,0.0016407296055618,0.048591323382217,0.743320968764949,0.0470403423759226,713.726250735969,0,283.048431691076,0,713.726727154112,0,0.00794328234724282
14,4,0.7,0.00721947687968577,0.0507210443435028,0.711430223218477,0.00164066189904708,0.0485849539609288,0.743369456128156,0.047046600138227,240.625575010743,0,283.048480954869,0,713.726824866564,0,0.00794328234724282
1,5,0.7,0.00863557218457825,0.051303590228718,0.690490537948742,1.09667372891532e-05,2.7861159453707e-10,0.735484863768601,0.0482856252767202,233.997972974071,0,4469.17638924754,0,663.092904068167,0,0.00794328234724282
2,5,0.7,0.00862587443390115,0.0513052675874704,0.69066559678852,0.00177901589839715,0.0492499630138318,0.735326838023134,0.0482795824457259,233.998037597678,0,272.038601474547,0,663.0929747343,0,0.00794328234724282
3,5,0.7,0.735573293490657,0.0482866065874928,4.22115611627681e-15,0.00177887639103092,0.049252920588495,0.735499793196179,0.0482800256927975,663.092945393753,0,272.038574716375,0,663.092919500498,0,0.00794328234724282
4,5,0.7,0.735312610121157,0.0482863445426312,8.16648053795304e-16,0.00177885600034141,0.0492554376941244,0.735520901488051,0.0482773835393484,663.092955112214,0,272.038568451003,0,663.092949234884,0,0.00794328234724282
5,5,0.7,0.735371189126071,0.0482839713902503,5.42745513517873e-16,0.00177908308096998,0.0492518267292481,0.735537332896969,0.0482892322450339,663.092920218651,0,272.038586379068,0,663.092943926354,0,0.00794328234724282
6,5,0.7,0.00864022496340762,0.0513091580341845,0.690356256160708,0.00177906388056322,0.0492527359076651,0.735454530768955,0.0482873117019817,233.99797278062,0,272.038577926306,0,663.092907260127,0,0.00794328234724282
7,5,0.7,0.00864495502875564,0.0513020224339438,0.690282506792261,0.00177892358420775,0.0492527456338647,0.73539095108822,0.0482979931863873,233.997969631151,0,272.038574435227,0,663.093060195929,0,0.00794328234724282
8,5,0.7,0.729110589367696,0.0482923553821568,0.00123800649060062,0.00177898898662432,0.0492595670612098,0.735593409159816,0.0482797992968256,661.868045571832,0,272.038566820121,0,663.092961978257,0,0.00794328234724282
9,5,0.7,0.735223694395352,0.048296926186825,2.01665763493205e-10,0.00177913510401167,0.0492560591251244,0.735488935458605,0.0482835388058672,663.093141977982,0,272.038569658834,0,663.092903273424,0,0.00794328234724282
10,5,0.7,0.0191775957777611,5.52207024834564e-35,2.31361540426677e-08,0.00177945247079634,0.0492589794424042,0.735486079388043,0.0482781022334676,4154.20206320719,0,272.03864279107,0,663.092934842942,0,0.00794328234724282
11,5,0.7,0.73538059747069,0.0482853627982494,2.81280027020027e-05,0.00177910530131396,0.0492573363585478,0.735613370370424,0.0482796146020253,663.065006123576,0,272.038565144442,0,663.092977809644,0,0.00794328234724282
12,5,0.7,0.733399997983451,0.0482908204257212,0.000383997149641023,0.00177881590371093,0.0492568017982151,0.735514878647215,0.0482845904115062,662.712375917167,0,272.038567572027,0,663.092909674268,0,0.00794328234724282
13,5,0.7,0.00864508105491214,0.0513069642678921,0.690227041714062,0.00177914317363243,0.0492629741968158,0.735458640022661,0.0482868152086775,233.998007472683,0,272.038601425993,0,663.092905131835,0,0.00794328234724282
14,5,0.7,0.735525633063327,0.048282194164215,6.9889763706211e-09,0.00177900403663132,0.049255312522714,0.735300359567799,0.0482946658964933,663.092908511313,0,272.038561272458,0,663.093034954209,0,0.00794328234724282
1,6,0.7,0.0143494441255232,0.0403774180063856,3.41995413554896,0.00178470739452605,0.0469373940437353,0.745154658072562,0.0460285054889883,699.517097236523,0,295.889880730799,0,662.389519931001,0,0.00794328234724282
2,6,0.7,0.744891197273389,0.0460293285870212,8.3235646114199e-20,0.00178491123356814,0.0469252032788129,0.744977789125683,0.0460255546970019,662.389415765452,0,295.889997946998,0,662.38941735091,0,0.00794328234724282
3,6,0.7,0.00970693546363781,0.0489078903884499,0.669722096063921,0.00178448347096807,0.0469343229261165,0.745041163431826,0.0460281221575474,241.584516977309,0,295.889894960843,0,662.389429055058,0,0.00794328234724282
4,6,0.7,0.00969569107508938,0.0489117691029417,0.669938123867136,0.00178493840165724,0.0469272638645869,0.745069707927322,0.0460329150468942,241.584482372546,0,295.889965682384,0,662.389471306104,0,0.00794328234724282
5,6,0.7,0.745055815859144,0.0460279771615173,5.0120419588343e-08,0.00178452592042001,0.0469367719941995,0.744952998752312,0.0460314732841654,662.389386729024,0,295.889885510948,0,662.389414778747,0,0.00794328234724282
6,6,0.7,0.00968556835358345,0.0489257922134486,0.670092597694192,1.13090431652174e-05,4.24089007843407e-10,0.744969138929507,0.0460204118688456,241.584770508809,0,4876.37278555336,0,662.389473527508,0,0.00794328234724282
7,6,0.7,0.00969301164420947,0.0489010954770743,0.670004410868552,0.00178453959581253,0.0469361251265251,0.745385295267455,0.0460035817812348,241.58449233078,0,295.889884748314,0,662.390386165935,0,0.00794328234724282
